"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001664","GO:0001664","G protein-coupled receptor binding","97/4288","216/13841",0.449074074074074,1.44954157165561,4.4612239416943,1.01889769269812e-05,0.00104112818781153,0.00097599673721609,"DVL1/NES/GNA11/PPP1R9B/PALM/HOMER3/FPR1/CCL18/STUB1/CXCL10/CXCL13/GNAO1/CXCL9/ARHGEF1/REEP2/BBS1/USP20/JAK2/DVL3/PROK2/PNOC/CCRL2/CXCL11/CCL4/CALM3/PTCH2/ARAP1/TUB/SHANK1/CXCL5/PICK1/CCR2/UCN/CCL7/STAT1/CCL20/GPRASP2/P2RY2/CCL8/FLNA/CCL13/CXCL1/CKLF/CCL3/CX3CL1/ADRA2C/PTCH1/RTP4/FCN1/FZD7/XCL1/ZBTB16/CCL2/NPW/XCL2/WNT6/CCL23/CXCL3/CCL5/AKAP5/NPB/ADRA2A/GPRC5B/ADORA1/CXCL2/WNT11/WNT10A/OXT/NECAB2/PF4V1/ITGB4/AVPR1A/CTHRC1/CCL17/MSMP/WNT10B/CCL3L1/MYOC/CCL3L3/ADRB1/CCL19/TAC1/NMU/S100A14/WNT16/WNT9A/ADORA2A/ADCYAP1/GAL/SCT/GRIA1/WNT3A/SAA1/CCL24/PTGER1/CCL25/MRAP",97
"GO:0048020","GO:0048020","CCR chemokine receptor binding","24/4288","37/13841",0.648648648648649,2.09373739411053,4.46310384464431,2.21133856732213e-05,0.00207128712472506,0.00194171044376268,"NES/CCL18/CXCL13/CCRL2/CCL4/CCR2/CCL7/STAT1/CCL20/CCL8/CCL13/CCL3/CX3CL1/XCL1/CCL2/XCL2/CCL23/CCL5/MSMP/CCL3L1/CCL3L3/CCL19/CCL24/CCL25",24
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","24/4288","38/13841",0.631578947368421,2.03863904163394,4.29531721120013,4.24124608297502e-05,0.00366704661327994,0.00343764156199028,"COL27A1/COL18A1/COL6A1/COL6A2/COL11A2/COL5A3/COL7A1/COL16A1/COL9A2/COL4A2/COL5A1/COL8A2/COL1A1/COL25A1/COL4A1/COL17A1/COL22A1/COL23A1/COL13A1/COL6A5/COL1A2/COL9A1/COL4A6/COL10A1",24
"GO:0019957","GO:0019957","C-C chemokine binding","14/4288","18/13841",0.777777777777778,2.51054622719735,4.29630063435714,5.82337372014199e-05,0.00467533718674257,0.00438285495779108,"CXCR2/CXCR1/CCR10/CCRL2/CXCR6/CCR2/CXCR4/CCR1/CCR4/CCR5/ZFP36/CCR6/CXCR3/CCR7",14
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","15/4288","21/13841",0.714285714285714,2.30560367803838,4.01136827318441,0.000160801807300653,0.0112963269628708,0.0105896453360496,"CXCR2/CXCR1/CCR10/CCRL2/GPR17/CXCR6/CCR2/CXCR4/CCR1/CCR4/CCR5/GPR35/CCR6/CXCR3/CCR7",15
"GO:0004950","GO:0004950","chemokine receptor activity","15/4288","21/13841",0.714285714285714,2.30560367803838,4.01136827318441,0.000160801807300653,0.0112963269628708,0.0105896453360496,"CXCR2/CXCR1/CCR10/CCRL2/GPR17/CXCR6/CCR2/CXCR4/CCR1/CCR4/CCR5/GPR35/CCR6/CXCR3/CCR7",15
"GO:0032395","GO:0032395","MHC class II receptor activity","9/4288","10/13841",0.9,2.90506063432836,4.03745371669867,0.000188604379555522,0.0124700778012004,0.0116899680455157,"HLA-DRA/HLA-DQA1/HLA-DPA1/HLA-DOB/HLA-DQB2/HLA-DOA/HLA-DQB1/HLA-DRB1/HLA-DQA2",9
"GO:0017171","GO:0017171","serine hydrolase activity","64/4288","141/13841",0.453900709219858,1.46512120249815,3.71912653495257,0.00021304980637521,0.0131932740294603,0.0123679221797057,"SEC11C/MMP1/LONP1/MMP13/PRSS53/CPVL/MMP3/TYSND1/CTSC/GZMA/CPD/GZMK/FAM111B/DAG1/CTSS/RHBDL1/PLA2G6/FURIN/PRCP/RHBDD3/ELANE/TMPRSS5/PRSS36/DPP9/PRSS27/NCEH1/HPN/PCSK4/RHBDL3/CTSH/PCSK7/PRRG3/CTSK/GZMB/MMP12/GZMH/FAP/CFD/CFB/TMPRSS9/PRSS50/F12/CMA1/PCSK1/TPSG1/TMPRSS6/GZMM/CTSG/HP/ADAM8/PCSK6/ACR/PRSS21/F10/TMPRSS3/DPP6/RELN/MMP7/ACHE/PRSS16/MMP8/AADAC/KLK11/KLK4",64
"GO:0019955","GO:0019955","cytokine binding","59/4288","128/13841",0.4609375,1.48783487348414,3.71481452106275,0.000223017977366322,0.0131932740294603,0.0123679221797057,"LTBP3/LTBP4/CXCR2/CXCR1/VASN/CCR10/ITGA4/NBL1/IL11RA/TNFRSF14/CCRL2/CHRD/IL1RN/IL2RG/CXCR6/GBP1/IFNGR1/ELANE/CCR2/CASP1/CXCR4/CCR1/CCR4/IL2RA/CCR5/TRAF2/BGN/TGFB3/IL18R1/ZFP36/CSF2RA/PDPN/IL23R/WFIKKN1/TSKU/CNTFR/WFIKKN2/IL5RA/LRG1/IL12A/PRLR/IL2RB/CCR6/LRRC32/GREM2/KIT/GDF5/IL12RB1/IL12RB2/CRLF1/NLRP7/IL1RL1/IL12B/IL36RN/CXCR3/CCR7/SCUBE3/CRLF2/MMP8",59
"GO:0015026","GO:0015026","coreceptor activity","30/4288","55/13841",0.545454545454545,1.76064280868385,3.78676640804076,0.000234850057047326,0.0131985732060597,0.0123728898475986,"FCRL5/RGMA/LRP5/CSPG4/ERBB2/ITGA4/IL17RC/CD80/CD86/IL2RG/CXCR6/IL18RAP/CXCR4/LBP/LY96/CCR5/CD28/GPR15/RAMP3/CD8A/NGFR/RAMP1/IL2RB/CD8B/IL12RB1/IL12RB2/GPC4/LILRA4/CRLF2/TMIGD2",30
"GO:0051015","GO:0051015","actin filament binding","76/4288","174/13841",0.436781609195402,1.40986339852462,3.64504343904153,0.000260472452639677,0.0139414779412856,0.0130693195534996,"PLEC/SYNE3/MYH7B/SPTBN4/PPP1R9B/MPRIP/MYH9/MAP1S/BIN1/MYO18A/TRIOBP/SPTBN5/FLII/ABL1/TPM2/CAPZA1/ACTR3/TMEM201/LCP1/FHOD1/GAS2L1/SHROOM1/MYO1C/ERMN/ACTN4/ARPC3/TWF1/CORO6/AMOTL2/PICK1/MICALL2/IQGAP2/SAMD14/GSN/MICAL1/FSCN1/FLNC/CORO1B/FLNA/ARHGAP27/CORO2B/SPTBN1/MYH3/POF1B/GAS2L3/MYO9B/MYO15A/AJUBA/ABLIM3/CAPZA2/ESPNL/ANTXR1/FSCN2/ABLIM2/MYO7B/FMNL1/TULP1/MYH11/TPM1/TLN2/MYH10/AIF1/HIP1R/ACTR3C/MYH14/MYO5B/SHROOM2/PKNOX2/SLC6A4/SHROOM3/FHOD3/GJB6/DMTN/GAS2L2/ANXA8/MYO1H",76
"GO:0016493","GO:0016493","C-C chemokine receptor activity","13/4288","18/13841",0.722222222222222,2.33122149668325,3.78626463572829,0.000380575407713772,0.01944394355774,0.018227559001028,"CXCR2/CXCR1/CCR10/CCRL2/CXCR6/CCR2/CXCR4/CCR1/CCR4/CCR5/CCR6/CXCR3/CCR7",13
"GO:0004896","GO:0004896","cytokine receptor activity","43/4288","89/13841",0.48314606741573,1.55952069008888,3.54775619125229,0.000447071487698504,0.0218481892249182,0.0204813985897576,"CXCR2/CXCR1/CCR10/EPOR/IL17RC/IL11RA/CCRL2/GPR17/IL7R/IL2RG/CXCR6/IFNGR1/IL21R/CCR2/IL18RAP/CXCR4/IL17RE/CCR1/CCR4/IL2RA/CCR5/IL18R1/CSF2RA/IL23R/CNTFR/IL5RA/IL27RA/GPR35/PRLR/IL2RB/CCR6/IL12RB1/IL12RB2/GFRA1/GFRA3/CRLF1/FLT3/IL1RL1/IL12B/CXCR3/CCR7/IFNLR1/CRLF2",43
"GO:0016298","GO:0016298","lipase activity","46/4288","98/13841",0.469387755102041,1.51511098842522,3.42845634213383,0.000644861658910194,0.0290756429610757,0.0272567134332616,"PLCD3/PNPLA7/PNPLA2/GDPD5/PLCB3/PLA2G4B/PLCD1/PITPNM3/MGLL/PLA2G2D/SMPD4/PLBD1/PLA2G6/LIPA/DAGLA/LYPLA1/ENPP2/ABHD3/PLBD2/PLCH2/CCR1/PNPLA8/NCEH1/PLA2G7/PLCH1/LIPN/FAAH/CCR5/CCL5/PROCA1/PNPLA6/PLCG2/ABHD16B/ABHD1/PLCD4/SMPDL3B/GDPD3/LCAT/CEL/LIPE/PNPLA3/CHRM5/SMPD3/LIPG/AADAC/PNPLA1",46
"GO:0008236","GO:0008236","serine-type peptidase activity","60/4288","135/13841",0.444444444444444,1.43459784411277,3.39957504544316,0.000646700243796167,0.0290756429610757,0.0272567134332616,"SEC11C/MMP1/LONP1/MMP13/PRSS53/CPVL/MMP3/TYSND1/CTSC/GZMA/CPD/GZMK/FAM111B/DAG1/CTSS/RHBDL1/FURIN/PRCP/RHBDD3/ELANE/TMPRSS5/PRSS36/DPP9/PRSS27/HPN/PCSK4/RHBDL3/CTSH/PCSK7/PRRG3/CTSK/GZMB/MMP12/GZMH/FAP/CFD/CFB/TMPRSS9/PRSS50/F12/CMA1/PCSK1/TPSG1/TMPRSS6/GZMM/CTSG/HP/ADAM8/PCSK6/ACR/PRSS21/F10/TMPRSS3/DPP6/RELN/MMP7/PRSS16/MMP8/KLK11/KLK4",60
"GO:0043027","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","10/4288","13/13841",0.769230769230769,2.48295780711826,3.58382116516162,0.000862174161055649,0.0372724521933288,0.0349407423164658,"NOL3/BIRC3/TNFAIP8/BIRC2/GAS6/BIRC7/CD27/SERPINB9/BIRC5/TNFSF14",10
"GO:0048019","GO:0048019","receptor antagonist activity","12/4288","17/13841",0.705882352941177,2.27847892888499,3.53367592205977,0.000900406214161585,0.0374835772117638,0.0351386596637718,"MTRNR2L8/MTRNR2L2/LRPAP1/IL1RN/MTRNR2L1/CCL5/WFIKKN1/WFIKKN2/DKK2/FST/IL36RN/IGSF1",12
"GO:0030280","GO:0030280","structural constituent of skin epidermis","18/4288","30/13841",0.6,1.93670708955224,3.44094250878513,0.000946529343031785,0.0379963921988474,0.0356193936983014,"KRT23/KRT2/KRT5/KRT1/KRT14/KRT10/PI3/KRT15/KRTAP5-8/KRT80/KRT78/KRT73/KRT79/KRT77/FLG/KRT24/KRT17/PNPLA1",18
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","100/4288","249/13841",0.401606425702811,1.29632335311395,3.16118137521249,0.0012151849140192,0.0470988911502615,0.0441524536817866,"ZBTB4/MAFK/ZNF219/MNT/SKI/NFE2L1/FOXP4/ZNF205/FOXK1/ZBTB7A/MZF1/CC2D1A/HSF1/ZNF512B/ERF/ZBTB45/KLF16/ZBTB12/SOX13/JDP2/ZFHX3/NACC2/SP2/ZGPAT/NFE2L3/GLIS2/MYPOP/TBX2/ETV3/HIC1/ZNF668/IRF3/BACH1/ESRRA/CC2D1B/HIC2/IRX3/KCNIP3/SAMD11/E4F1/MXD3/ZNF692/SREBF2/ZBTB17/PPARD/NFIL3/HES6/POU6F1/NR1D1/JUN/GTF2IRD1/ZNF746/PRDM16/TFEC/ZNF93/PRDM1/JPH2/TCF7L2/LEF1/CREB3L1/TCF3/NACC1/HMX1/POU5F1/NFATC4/ZBTB16/ZBTB46/NR2F1/FERD3L/BCL6/ZEB1/DLX4/NR2F2/ZBED2/TCF21/E2F7/MLXIPL/GFI1/NFATC2/TBX3/HEYL/GSC/VAX2/EN1/BCL11A/IRF8/SNAI3/ZFP92/INSM1/AEBP1/HOXD9/NKX3-2/TBX21/HES5/FOXD3/OVOL1/VAX1/SALL1/ZNF750/PAX6",100
