"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","entrez","ensembl","gene_name"
179.840930821568,-1.45381596061456,0.17178153396038,1.47402430070926e-17,1.99094109619577e-16,"HSPBP1","23640","ENSG00000133265","HSPA (Hsp70) binding protein 1"
633.564715911617,-1.09314288137282,0.130065792333981,1.48105462487397e-17,1.99913447509844e-16,"SLC41A1","254428","ENSG00000133065","solute carrier family 41 member 1"
274.170503028226,-1.27638698547516,0.149173912948913,1.48419860379602e-17,2.00207479847123e-16,"RTKN","6242","ENSG00000114993","rhotekin"
54.5314681916894,-3.85951823311414,0.48324142192427,1.49193787009816e-17,2.01120597274026e-16,"RP11-54O7.17:ENSG00000272512",NA,NA,"RP11-54O7.17:ENSG00000272512"
359.689022345651,1.66984117318241,0.20883426090323,1.51229650892067e-17,2.03732576474673e-16,"ECT2","1894","ENSG00000114346","epithelial cell transforming 2"
249.854533739365,-2.74026169095675,0.322825422867903,1.51906702674388e-17,2.04511796529096e-16,"USHBP1","83878","ENSG00000130307","USH1 protein network component harmonin binding protein 1"
27.8002977080375,-1.94937689565604,0.225486549760589,1.53340419908759e-17,2.06308041918773e-16,"ARHGEF16","27237","ENSG00000130762","Rho guanine nucleotide exchange factor 16"
768.410218413315,-1.49837821605193,0.176446029428718,1.55219707426193e-17,2.08565793523477e-16,"MAP2K3","5606","ENSG00000034152","mitogen-activated protein kinase kinase 3"
57.517865754785,2.65693112798948,0.351207301863777,1.55186654204645e-17,2.08565793523477e-16,"TTK","7272","ENSG00000112742","TTK protein kinase"
549.242526025473,-1.3474320445093,0.158897160738288,1.57680016385053e-17,2.11597396745068e-16,"DUSP7","1849","ENSG00000164086","dual specificity phosphatase 7"
293.77725280338,-2.45291615531191,0.288796000960809,1.57676555332663e-17,2.11597396745068e-16,"MC1R","4157","ENSG00000258839","melanocortin 1 receptor"
175.06038138544,-3.00472670682095,0.353592261389572,1.59335526754499e-17,2.13680690569277e-16,"TCHH","7062","ENSG00000159450","trichohyalin"
2503.3246891429,-1.48548536481877,0.178192515663644,1.64735539400859e-17,2.20779698668262e-16,"SDF4","51150","ENSG00000078808","stromal cell derived factor 4"
523.714181773046,-2.28668156624685,0.275575972436765,1.66010015406519e-17,2.22344034200475e-16,"RAB43","339122","ENSG00000172780","RAB43, member RAS oncogene family"
214.198202742388,1.31919976533583,0.162611748127181,1.66387544069977e-17,2.22705807049892e-16,"TGDS","23483","ENSG00000088451","TDP-glucose 4,6-dehydratase"
924.684644689035,-5.28138195710429,0.769935667052352,1.66819911134357e-17,2.23140465648298e-16,"DDX3Y","8653","ENSG00000067048","DEAD-box helicase 3 Y-linked"
10776.829328299,-1.72727185017355,0.211345979948276,1.69431808947353e-17,2.26488052540649e-16,"RRBP1","6238","ENSG00000125844","ribosome binding protein 1"
464.748746742861,-1.33159396076497,0.155338915393573,1.71311522267298e-17,2.28853208193807e-16,"SLC27A3","11000","ENSG00000143554","solute carrier family 27 member 3"
40.3903950857315,-2.36929330007324,0.294841719935945,1.73431878020141e-17,2.31536582549362e-16,"LOC100131691",NA,NA,"LOC100131691"
521.110494106105,-1.44830571728445,0.169531377229952,1.75756940726261e-17,2.34489617250808e-16,"IGHMBP2","3508","ENSG00000132740","immunoglobulin mu DNA binding protein 2"
466.708468904197,-1.74755342728098,0.202837471363379,1.78287482943092e-17,2.37712822113127e-16,"ARRDC1","92714","ENSG00000197070","arrestin domain containing 1"
1182.72069149126,-1.04723780766048,0.122376560023749,1.81103232407024e-17,2.41002138478487e-16,"DVL3","1857","ENSG00000161202","dishevelled segment polarity protein 3"
63.5916769098383,-3.46874927676156,0.410894820384997,1.83814045940664e-17,2.44452637234624e-16,"BC029787",NA,NA,"BC029787"
1316.60360121177,-1.25948829778181,0.146060837280746,1.84796337279733e-17,2.45601439796199e-16,"CSNK1E","1454","ENSG00000213923","casein kinase 1 epsilon"
203.352077950228,-2.71800827278898,0.29669719298342,1.85891217024545e-17,2.46898308941057e-16,"RADIL","55698","ENSG00000157927","Rap associating with DIL domain"
551.602062878098,1.32349654816798,0.154498033628719,1.93187488436458e-17,2.56274523573561e-16,"ARL4A","10124","ENSG00000122644","ARF like GTPase 4A"
3427.75864221713,-1.51301821745033,0.18283099946908,1.93639321788747e-17,2.56695911678139e-16,"PCDHGC3","5098","ENSG00000240184","protocadherin gamma subfamily C, 3"
94.7133151663336,-1.62184805177797,0.180727311778938,1.95898306855194e-17,2.59524574826117e-16,"LOC100132356","100132356",NA,"uncharacterized LOC100132356"
743.700210433065,1.46960924784116,0.186445885345565,1.96122485164722e-17,2.59655650378044e-16,"CEPT1","10390","ENSG00000134255","choline/ethanolamine phosphotransferase 1"
514.666907589805,-1.28001537206884,0.153537864418511,1.97084151824788e-17,2.60762330554137e-16,"KRI1","65095","ENSG00000129347","KRI1 homolog"
644.043554139642,-1.47583514521998,0.171362339474263,1.9779234469505e-17,2.61261669414916e-16,"MRI1","84245","ENSG00000037757","methylthioribose-1-phosphate isomerase 1"
1137.45212649695,-1.65106945430248,0.191054099918563,1.97658851831125e-17,2.61261669414916e-16,"TRIM47","91107","ENSG00000132481","tripartite motif containing 47"
1214.69142704905,-1.66891549850213,0.193390072165627,1.97839589534278e-17,2.61261669414916e-16,"UVSSA","57654","ENSG00000163945","UV stimulated scaffold protein A"
370.698091480339,-2.35884136617856,0.272427042363218,1.98920435584816e-17,2.62521794460852e-16,"CBS","875","ENSG00000160200","cystathionine beta-synthase"
15.9903790389655,7.22847070823279,1.1303296282707,2.01712444535986e-17,2.66037157287824e-16,"PROK2","60675","ENSG00000163421","prokineticin 2"
2452.34465352128,-2.12971994540634,0.252605708198008,2.02987827208993e-17,2.6754905413376e-16,"TNFRSF14","8764","ENSG00000157873","TNF receptor superfamily member 14"
555.801558570888,-2.18680893605316,0.259627119635875,2.03753315615408e-17,2.68387388351604e-16,"LOC100129917",NA,NA,"LOC100129917"
207.065719143539,5.00310708322075,0.618368459734393,2.04715585299121e-17,2.69483697143281e-16,"PLA2G2D","26279","ENSG00000117215","phospholipase A2 group IID"
227.416248141554,1.21922572364441,0.151859404699944,2.05474341419747e-17,2.70310883290331e-16,"TPK1","27010","ENSG00000196511","thiamin pyrophosphokinase 1"
208.4966471467,-1.98996680473103,0.23530651871524,2.06003588133067e-17,2.7083528172244e-16,"MEX3D","399664","ENSG00000181588","mex-3 RNA binding family member D"
3638.52061084977,1.0576733913879,0.129604064738785,2.06225772609421e-17,2.70955573099564e-16,"TMEM66",NA,NA,"TMEM66"
890.756934070307,1.22954374686294,0.151022945432674,2.09158001011565e-17,2.74634125077439e-16,"NCK1","4690","ENSG00000158092","NCK adaptor protein 1"
12157.0062186327,-1.94867244699595,0.238761209938886,2.10091557593259e-17,2.7568533313804e-16,"MRC2","9902","ENSG00000011028","mannose receptor C-type 2"
1226.16179032374,1.26818262283068,0.152181744298802,2.10425876425754e-17,2.75949379882047e-16,"MCTP1","79772","ENSG00000175471","multiple C2 and transmembrane domain containing 1"
1212.43303236747,1.25116182461907,0.15591510818642,2.10720410641176e-17,2.76051257337565e-16,"ITFG1","81533","ENSG00000129636","integrin alpha FG-GAP repeat containing 1"
49.8424313032718,-2.71643046214407,0.336621676235539,2.10769854997041e-17,2.76051257337565e-16,"MEG8","79104",NA,"maternally expressed 8, small nucleolar RNA host gene"
78.092037883703,-2.33334399490615,0.277714272408345,2.11516397704257e-17,2.76854133434492e-16,"KIAA1984-AS1",NA,NA,"KIAA1984-AS1"
358.418560349159,-1.35189268000455,0.158279921241076,2.11698393456958e-17,2.76917526280323e-16,"TXNRD2","10587","ENSG00000184470","thioredoxin reductase 2"
72.3749100322185,2.04845202335554,0.25985924502965,2.13467777947352e-17,2.79055954614278e-16,"RAD51AP1","10635","ENSG00000111247","RAD51 associated protein 1"
337.342811112105,-2.4113875719776,0.280202670948656,2.14772373175084e-17,2.80584474671646e-16,"AC144831.1:ENSG00000261888",NA,NA,"AC144831.1:ENSG00000261888"
5591.02436038812,-1.57683013638132,0.186666151331206,2.17030325085284e-17,2.83177453114738e-16,"KMT2D","8085","ENSG00000167548","lysine methyltransferase 2D"
459.283252857541,2.78472683463541,0.351460916582384,2.21107572958073e-17,2.88315931455329e-16,"ADAM28","10863","ENSG00000042980","ADAM metallopeptidase domain 28"
915.912192267452,-2.14847647870615,0.264393627955319,2.22925455182493e-17,2.90503674563082e-16,"SLX1B-SULT1A4","100526831","ENSG00000260280","SLX1B-SULT1A4 readthrough (NMD candidate)"
60.8116652323359,-1.57926996002551,0.184976667200428,2.24876924677849e-17,2.9286264317499e-16,"ZBED3","84327","ENSG00000132846","zinc finger BED-type containing 3"
250.16447806247,-3.36477064213462,0.374679304750834,2.25509772232701e-17,2.93502454971789e-16,"LOC100507472","100507472",NA,"uncharacterized LOC100507472"
175.531305171235,-2.65369794005334,0.34220294374259,2.27850123565677e-17,2.9636239723257e-16,"COL9A2","1298","ENSG00000049089","collagen type IX alpha 2 chain"
1215.4047073195,-1.32763965463597,0.155526699474017,2.3015405254924e-17,2.99171408871685e-16,"RPTOR","57521","ENSG00000141564","regulatory associated protein of MTOR complex 1"
150.179981057343,-2.49634974549116,0.289767464379108,2.31658771507788e-17,3.00938678550812e-16,"SLC17A7","57030","ENSG00000104888","solute carrier family 17 member 7"
1434.48040335444,-1.45454553371869,0.17008778540228,2.32212236420042e-17,3.01468772554586e-16,"PTPN21","11099","ENSG00000070778","protein tyrosine phosphatase non-receptor type 21"
1091.70413666909,-2.08005592701179,0.246812947768898,2.32592477175013e-17,3.01773456149534e-16,"GPR153","387509","ENSG00000158292","G protein-coupled receptor 153"
22220.9287538092,5.71526790183212,0.867393513775896,2.36787740539111e-17,3.07024404290018e-16,"DKFZp686O16217",NA,NA,"DKFZp686O16217"
137.32465346421,-1.72979800453283,0.206033969266144,2.39298811569299e-17,3.0989270832394e-16,"BC150535",NA,NA,"BC150535"
75.2051583971665,-2.43378094783963,0.29177137322336,2.39843661354025e-17,3.10404408917166e-16,"FAM43B","163933","ENSG00000183114","family with sequence similarity 43 member B"
49.914811873818,7.05662273162612,0.932337183231056,2.43292258029972e-17,3.14671140719614e-16,"PNOC","5368","ENSG00000168081","prepronociceptin"
828.365854856855,1.68655741217109,0.215778831673226,2.45186048347033e-17,3.16922839175751e-16,"GPR155","151556","ENSG00000163328","G protein-coupled receptor 155"
4084.4927020589,1.06241383194909,0.132850703598128,2.46418392865822e-17,3.1831729216742e-16,"LMAN1","3998","ENSG00000074695","lectin, mannose binding 1"
33.1057248649349,-3.24337610120905,0.380821590697821,2.5194424392596e-17,3.2525280257266e-16,"DQ594366",NA,NA,"DQ594366"
843.95204437135,-1.60592472457765,0.190098636024678,2.52628250953096e-17,3.25932889048571e-16,"STAG3L2","442582",NA,"STAG3 cohesin complex component like 2 (pseudogene)"
1635.07851478985,-1.86054324848269,0.218483637321436,2.56097016975807e-17,3.30202702298471e-16,"GPR124",NA,NA,"GPR124"
1427.23440223519,-1.83471428642398,0.21766992433352,2.60049995978248e-17,3.34675143799939e-16,"CCDC57","284001","ENSG00000176155","coiled-coil domain containing 57"
241.118799306328,-1.34347262268368,0.152327030681085,2.5994648969791e-17,3.34675143799939e-16,"TMEM80","283232","ENSG00000177042","transmembrane protein 80"
1221.69946643518,-2.18154428847803,0.251585448905538,2.61833767353541e-17,3.36552975730995e-16,"DOCK6","57572","ENSG00000130158","dedicator of cytokinesis 6"
3369.85129814273,1.24366359795466,0.146970962484304,2.69264302426756e-17,3.45889515626638e-16,"ENTPD1","953","ENSG00000138185","ectonucleoside triphosphate diphosphohydrolase 1"
312.538604701326,3.46528374895293,0.473971205749425,2.78269029374922e-17,3.57235404707756e-16,"RP11-284N8.3:ENSG00000259834",NA,NA,"RP11-284N8.3:ENSG00000259834"
184.931889929505,-1.843073896214,0.223805491097651,2.86730930431252e-17,3.67870815633115e-16,"COLQ","8292","ENSG00000206561","collagen like tail subunit of asymmetric acetylcholinesterase"
279.522136156177,-1.33011474943393,0.156993460513725,2.8875661725037e-17,3.70011801325829e-16,"CCDC94",NA,NA,"CCDC94"
126.907459659412,-1.25155534147269,0.149958490015472,2.95333776830843e-17,3.7820600339925e-16,"FDX1L",NA,NA,"FDX1L"
202.053153121825,1.20314403569709,0.147863428850067,2.98493991739139e-17,3.82017032760961e-16,"XRCC4","7518","ENSG00000152422","X-ray repair cross complementing 4"
668.145733874308,1.11773293536848,0.13715890957616,3.00000719090114e-17,3.83708507643142e-16,"RAP1GDS1","5910","ENSG00000138698","Rap1 GTPase-GDP dissociation stimulator 1"
18.2657041424258,-2.21915649309219,0.270004793644212,3.00832812452947e-17,3.84535554906717e-16,"LOC100131347",NA,NA,"LOC100131347"
5782.74381258697,2.0383724898819,0.265098893977466,3.04957411992619e-17,3.89567592288537e-16,"LCP1","3936","ENSG00000136167","lymphocyte cytosolic protein 1"
355.166382232518,1.40730735564909,0.176565403060866,3.09561385406921e-17,3.95205431258725e-16,"GLA","2717","ENSG00000102393","galactosidase alpha"
