"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","entrez","ensembl","gene_name"
30.9877492229483,-0.784933226289968,0.22465900819817,0.00059716423935639,0.0011837657686754,"RP3-449M8.6:ENSG00000259005",NA,NA,"RP3-449M8.6:ENSG00000259005"
666.865819360798,0.561638820103978,0.171998907258185,0.000597253884858448,0.0011838302863069,"NDUFB5","4711","ENSG00000136521","NADH:ubiquinone oxidoreductase subunit B5"
94.2498547644435,0.576169575210322,0.174492873311839,0.000597389380865506,0.00118398566422756,"MRPS17","51373","ENSG00000239789","mitochondrial ribosomal protein S17"
5.3808400174442,-1.40641112021869,0.42862258812039,0.000597480162820324,0.00118405240066467,"RP11-672A2.4:ENSG00000254810",NA,NA,"RP11-672A2.4:ENSG00000254810"
63.0351521249946,0.682772090268656,0.205020413077479,0.000599316261176692,0.00118757756312495,"LOC100507032",NA,NA,"LOC100507032"
1260.2324300086,0.400110267272362,0.119470132013501,0.000599520503853158,0.00118786875061043,"PTPN1","5770","ENSG00000196396","protein tyrosine phosphatase non-receptor type 1"
211.889270455796,-1.25334354299069,0.370563960407005,0.00060047040286672,0.00118963715839806,"DMTN","2039","ENSG00000158856","dematin actin binding protein"
860.083178208496,-0.273931402075255,0.0804210943990165,0.000600875291207047,0.00119032556971104,"GRHPR","9380","ENSG00000137106","glyoxylate and hydroxypyruvate reductase"
1421.44844344081,0.823762329422704,0.254321652167049,0.000600998321881966,0.00119045554672579,"OAS2","4939","ENSG00000111335","2'-5'-oligoadenylate synthetase 2"
46.9450839192999,-0.766490180222547,0.224441304521556,0.000601081487748315,0.00119050654236586,"RP11-34P13.7:ENSG00000238009",NA,NA,"RP11-34P13.7:ENSG00000238009"
270.875143433775,0.791551512348672,0.245832342931622,0.000601717279602291,0.00119165195892581,"HPGD","3248","ENSG00000164120","15-hydroxyprostaglandin dehydrogenase"
948.534821718407,-0.583434806135573,0.169488507285589,0.000603238412553795,0.00119455033500266,"ACVRL1","94","ENSG00000139567","activin A receptor like type 1"
1502.37584688819,0.657524665868045,0.196501586874164,0.000603436145935315,0.00119482777324772,"LPHN2",NA,NA,"LPHN2"
893.853313299005,0.664525734694153,0.210989906681101,0.00060366623348455,0.00119516921493842,"TBXAS1","6916","ENSG00000059377","thromboxane A synthase 1"
9683905.58318737,-3.30284002781622,1.12758862514162,0.000604169742761695,0.00119605187402638,"RNA5-8S5","110255170",NA,"RNA, 5.8S ribosomal 5"
315.143110893426,0.822390104143327,0.259845443927721,0.000605007608655024,0.0011975962144591,"GXYLT2","727936","ENSG00000172986","glucoside xylosyltransferase 2"
3255.32049212032,0.395272173172947,0.118194546950152,0.000605494174903126,0.00119844493825933,"PUM2","23369","ENSG00000055917","pumilio RNA binding family member 2"
256.25708695393,0.758211748869606,0.243461944068494,0.000606717647740272,0.00120075190822824,"BSCL2","26580","ENSG00000168000","BSCL2 lipid droplet biogenesis associated, seipin"
1258.36478186302,-0.769432093685654,0.222645822750952,0.000607217735624561,0.00120162692685922,"MMRN2","79812","ENSG00000173269","multimerin 2"
1152.68799322946,0.391260653535134,0.113870279616572,0.000607876835372027,0.00120281641799659,"KIFAP3","22920","ENSG00000075945","kinesin associated protein 3"
197.544075464855,0.702453741943705,0.22746695399457,0.00060858785846462,0.00120410841392757,"ARL11","115761","ENSG00000152213","ARF like GTPase 11"
8680.63627359832,-0.838931257232161,0.245643786631468,0.00060872115749813,0.00120425722885579,"VWF","7450","ENSG00000110799","von Willebrand factor"
9442.78240488993,-0.411753634836757,0.12166084850306,0.000609495894883218,0.00120567487726493,"HNRNPA1","3178","ENSG00000135486","heterogeneous nuclear ribonucleoprotein A1"
840.676636278099,0.202807613411489,0.0591277807646945,0.000610705587209648,0.00120795257962389,"HERPUD2","64224","ENSG00000122557","HERPUD family member 2"
28.8084207918741,-0.554437916249407,0.160960134224526,0.000611408999727233,0.00120922854062241,"AX747098",NA,NA,"AX747098"
23.4462555874026,-0.866926493838451,0.256919275256981,0.000611878419791865,0.0012100415182702,"KIAA1984",NA,NA,"KIAA1984"
7.04161066677253,-1.1105327780361,0.38584971668096,0.000612429804627551,0.00121101641767697,"FAM222A","84915","ENSG00000139438","family with sequence similarity 222 member A"
20.6306561549282,0.585962050649801,0.175509030959627,0.000612989781336287,0.00121200811905829,"RP11-7F18.2:ENSG00000271966",NA,NA,"RP11-7F18.2:ENSG00000271966"
2227.5118406248,0.328236124191975,0.0971050305759468,0.000613861784620031,0.00121361651382923,"TRIM38","10475","ENSG00000112343","tripartite motif containing 38"
36.8251135685989,-0.804242003258207,0.237515093660241,0.000614152261594891,0.00121407502284963,"C16orf93",NA,NA,"C16orf93"
1.7371212816931,-3.50959082728407,1.15030014027701,0.00061423913838734,0.0012141309997316,"CHRNA4","1137","ENSG00000101204","cholinergic receptor nicotinic alpha 4 subunit"
47.8348352001409,-0.949141750392191,0.290531508172554,0.000615029682897368,0.0012155777326512,"DACT3","147906","ENSG00000197380","dishevelled binding antagonist of beta catenin 3"
2616.38482980129,-0.283284877693424,0.0823573354814985,0.000615685835969068,0.0012167585966206,"KIAA2026",NA,NA,"KIAA2026"
