"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032604","GO:0032604","granulocyte macrophage colony-stimulating factor production","10/4203","14/13465",0.714285714285714,2.28833146392033,3.24884283837137,0.00232033191223818,0.0477102876230176,0.0426350740057899,"IL1B/CD80/CD84/IL17D/IL18/CARD9/IL23R/PAEP/IL12B/IL23A",10
"GO:0032645","GO:0032645","regulation of granulocyte macrophage colony-stimulating factor production","10/4203","14/13465",0.714285714285714,2.28833146392033,3.24884283837137,0.00232033191223818,0.0477102876230176,0.0426350740057899,"IL1B/CD80/CD84/IL17D/IL18/CARD9/IL23R/PAEP/IL12B/IL23A",10
"GO:0044771","GO:0044771","meiotic cell cycle phase transition","10/4203","14/13465",0.714285714285714,2.28833146392033,3.24884283837137,0.00232033191223818,0.0477102876230176,0.0426350740057899,"TTK/NDC80/PDIK1L/CDC25C/MAPK15/CDC20/CCNB2/CDC25B/CDC25A/OVOL1",10
"GO:0051231","GO:0051231","spindle elongation","10/4203","14/13465",0.714285714285714,2.28833146392033,3.24884283837137,0.00232033191223818,0.0477102876230176,0.0426350740057899,"NUMA1/PPP2R1A/KIF11/INCENP/KIF23/BIRC5/KIF4A/CDCA8/AURKC/AURKB",10
"GO:0007498","GO:0007498","mesoderm development","50/4203","113/13465",0.442477876106195,1.41755046437543,3.00254406018112,0.00233702075653421,0.0478842386699739,0.0427905208942884,"SSBP3/AHDC1/ARMC5/KDM6B/AMH/AXIN1/PRKACA/NCLN/IRX3/JAK2/POFUT2/CTDNEP1/OSR1/POGLUT1/FGFR1/SRF/SIX2/SMO/IKZF3/TBX6/VEGFA/FOXC2/TBX1/LEF1/GDF11/BTK/IKZF1/EOMES/ITGA3/TEAD2/TBX3/WNT11/CRB2/ITGB4/MESP1/ITGA2/MESP2/TCF15/BMP4/MIXL1/EPHA2/TIE1/HES7/ITGA8/SFRP2/FGF8/BMX/OVOL1/WNT3A/TBX20",50
"GO:1902893","GO:1902893","regulation of miRNA transcription","34/4203","71/13465",0.47887323943662,1.53414898144518,3.03984045076771,0.00236073773919467,0.0480319332320761,0.042922504348994,"NCOR2/ZNF512B/SREBF1/SMAD6/PDGFB/TGFB1/NOTCH3/SMARCA4/RARA/NR1H2/ATOH8/SREBF2/PPARD/HIF1A/SRF/JUN/IL6/IL10/VEGFA/POU5F1/NFATC4/BMP2/MYB/NGFR/MYCN/AR/BMP4/GATA2/LILRB4/TNF/SOX9/EGR1/TERT/PAX6",34
"GO:1905818","GO:1905818","regulation of chromosome separation","34/4203","71/13465",0.47887323943662,1.53414898144518,3.03984045076771,0.00236073773919467,0.0480319332320761,0.042922504348994,"NUMA1/MAD1L1/NCAPH2/XRCC3/TTK/BUB1/NCAPG/MAD2L1/INCENP/KNTC1/SKA3/DLGAP5/NUF2/ATM/KLHL22/ZWILCH/GEN1/FBXO5/RB1/SMC4/NDC80/BIRC5/MAPK15/NCAPH/CENPF/CDC20/CCNB1/SPC25/CDCA8/TRIP13/BUB1B/SPC24/UBE2C/AURKB",34
"GO:0071526","GO:0071526","semaphorin-plexin signaling pathway","24/4203","46/13465",0.521739130434783,1.67147689538528,3.073012107289,0.00244348681388978,0.0491740127288436,0.043943094378757,"SEMA3B/ARHGDIA/ERBB2/SEMA6C/PLXNA3/SEMA4C/ECE1/PLXNB2/PLXNA1/SEMA4F/FLNA/SEMA5B/PLXNB3/PLXNC1/PLXND1/SEMA4B/PLXNB1/SEMA4G/SEMA3G/CRMP1/SEMA3C/TYROBP/SEMA6B/HAND2",24
"GO:0006023","GO:0006023","aminoglycan biosynthetic process","19/4203","34/13465",0.558823529411765,1.79028285118473,3.1080085163609,0.00244696915399356,0.0491740127288436,0.043943094378757,"B3GNT2/PDGFB/XYLT2/TGFB1/IL1B/AP2A1/B3GAT3/B3GALT6/GCNT2/HAS3/B3GNT8/HAS1/XYLT1/HS3ST3B1/B3GNT7/EGF/HS3ST2/HS3ST3A1/SMPD3",19
"GO:0009595","GO:0009595","detection of biotic stimulus","19/4203","34/13465",0.558823529411765,1.79028285118473,3.1080085163609,0.00244696915399356,0.0491740127288436,0.043943094378757,"SSC5D/TLR1/TLR2/CLEC7A/CRTAM/CLEC6A/PTPRJ/SMO/NLRC4/LBP/LY96/TLR6/TLR4/NOD1/FAP/TRA/HLA-DRB1/TRB/NR4A1",19
"GO:0009914","GO:0009914","hormone transport","106/4203","269/13465",0.394052044609665,1.26241036894341,2.92853444549489,0.00245067257112299,0.0491740127288436,0.043943094378757,"RAB11FIP3/RAB11B/GNA11/CYB5R4/LTBP4/FAM3A/RPH3AL/STX4/SREBF1/MIDN/SIRT3/LRP5/TRPM4/CAPN10/PRKACA/IL1B/GNAO1/GABBR1/RAPGEF3/BRSK2/JAK2/SIRT6/BAD/C1QTNF1/RAB8B/ACSL4/SPP1/PPARD/FGFR1/LYN/PLA2G6/IL1RN/INHA/HIF1A/NR1D1/NLGN2/SYT7/PICK1/PIM3/IL6/UCN/PFKL/TCIRG1/CRY2/PER2/PRKCB/TUBB1/SERP1/RAB11FIP5/IFNG/CPLX1/TCF7L2/ADRA2C/FFAR2/BTK/IRS2/SLC25A22/WNK4/CCL5/STX1A/F2RL1/ADRA2A/MYB/ALOX5/SSTR5/PAX8/MLXIPL/BLK/TBX3/ADORA1/EXOC3L1/SLC7A8/IRS1/ADCY5/SCG5/HLA-DRB1/BAIAP3/ABCA12/INHBB/MAFA/SNAP25/RAB44/KCNB1/TNF/GALR1/BMP8A/SLC7A5/RASL10B/ADCY8/TAC1/NMU/OSM/CRYM/FOXD1/MC4R/ILDR1/NNAT/ADCYAP1/RBP4/GAL/ABCC8/SCT/SMPD3/NOS2/FOXL2/RETN",106
