"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04382","Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","63/2068","134/6676",0.470149253731343,1.5177545541153,4.05569907675609,6.19921823662306e-05,0.00103320303943718,0.00086074358473413,"PLEC/S100A9/SLC27A1/LAMA5/UGCG/PPP2R1A/S100A12/KRT23/PPL/S100A8/COL7A1/CAPN1/PPP2R3B/TCHH/KRT2/KRT5/COL4A2/FURIN/PPP2R5B/PPP2R3C/DSC1/HAL/DSG1/JUP/KAZN/TMEM79/CLDN7/KRT1/KRT14/LAMB3/CLDN15/KRT10/COL4A1/HRNR/COL17A1/ASPRV1/KRT15/ITGB4/CLDN5/DSP/CLDN2/FLG2/ABCA12/EVPL/TGM3/DSG3/S100A2/KRT80/KRT78/CLDN9/S100A14/PCSK6/KRT73/COL4A6/PKP3/KRT79/KRT77/CYP4F22/FLG/CLDN14/KRT24/KRT17/PNPLA1",63
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","63/2068","136/6676",0.463235294117647,1.49543463420184,3.9103137984016,0.000106844536654071,0.00163575743786161,0.00136272123394787,"PTPRC/NRXN2/CD58/LRRC4B/HLA-DRA/SELL/ITGA4/HLA-DQA1/SELE/PTPRS/CD80/NLGN4Y/HLA-DPA1/ICOS/CD86/CTLA4/ALCAM/HLA-DMB/PDCD1LG2/NLGN2/CD2/PTPRF/SDC1/CD274/TIGIT/HLA-DOB/CD276/HLA-DMA/ICAM3/CLDN7/HLA-DPB1/CLDN15/CD28/HLA-DQB2/HLA-DOA/NLGN3/HLA-DQB1/CDH1/ICOSLG/CD226/CD8A/CDH15/ITGAL/CXADR/CLDN5/CLDN2/HLA-DRB1/CD8B/CD40LG/VCAM1/ITGA8/ITGB7/CNTN2/HLA-DRB4/CDH4/CD22/NCAM2/CD6/MAG/CLDN9/CNTNAP2/HLA-DQA2/CLDN14",63
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","29/2068","51/6676",0.568627450980392,1.83566579436417,4.01300258669214,0.000107492631630906,0.00163575743786161,0.00136272123394787,"FCGR3B/HLA-DRA/HLA-DQA1/FCGR1A/CD80/HLA-DPA1/FCGR2A/CD86/ACTN4/HLA-DMB/ELANE/IL10/HLA-DOB/FCGR3A/IFNG/HLA-DMA/HLA-DPB1/CD28/HLA-DQB2/HLA-DOA/HLA-DQB1/C1QB/HLA-DRB1/CD40LG/TNF/HLA-DRB4/CTSG/GRIN2B/HLA-DQA2",29
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","19/2068","29/6676",0.655172413793103,2.1150536917228,4.03112816712679,0.000129530674706369,0.00188898900613455,0.00157368407428352,"PLCB3/IL1B/SELE/THOP1/FAS/IL6/IL10/PRKCB/IFNG/IDO1/IL18/FASLG/F2RL1/IL12A/VCAM1/IDO2/TNF/IL12B/PRKCG",19
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","181/2068","472/6676",0.383474576271186,1.23794790676327,3.59220952765403,0.000246090500035276,0.00344526700049386,0.00287019235830616,"DVL1/RXRA/APC2/TCF7L1/BRCA2/ADCY9/GNA11/VEGFB/KIF7/DAPK3/PLEKHG5/RXRB/CTBP1/IGF2/LAMA5/LRP5/HRAS/MMP1/GADD45G/AXIN1/PDGFB/ERBB2/PRKACA/PLCB3/EML4/TGFB1/EPOR/EGLN2/PIM2/NOTCH3/BIRC3/ABL1/AKT2/NRAS/ARHGEF1/BBC3/DLL1/LAMB2/ADCY6/RARA/IKBKG/JAK2/DVL3/TXNRD2/CHUK/SUFU/BAD/CASP3/CALM3/PTCH2/GNB2/COL4A2/ZBTB17/PIK3R2/PML/MAP2K2/PPARD/FGFR1/CASP9/ALK/IL7R/IL2RG/HIF1A/RASGRP1/BIRC2/MAPK3/JUN/LPAR6/RB1/IFNGR1/FAS/BCR/SMO/IL6/FLT3LG/JAG2/FGFR4/STAT1/CXCR4/VEGFA/GNG10/BIRC7/CCNA2/PRKCB/PTGS2/GLI2/RAC3/CKS2/IFNG/JUP/TCF7L2/NCOA3/CAMK2B/NOTCH4/LEF1/VHL/FZD9/PTCH1/ADCY3/IL2RA/CCNE2/FZD7/GNG7/ZBTB16/GNB3/IL7/BIRC5/FZD8/ITGA3/HGF/WNT6/LAMB3/CCND1/PMAIP1/TRAF2/FZD10/NOTCH1/FASLG/TGFB3/BMP2/CEBPA/CDH1/ADCY4/FZD6/CSF2RA/PLCG2/FZD3/F2R/PAX8/IL23R/DCC/AXIN2/COL4A1/WNT11/HEYL/LAMC3/GSTM5/TGFA/WNT10A/GLI1/CCNE1/PDGFRB/ITGA2/ADCY5/E2F2/IL5RA/RAC2/IL12A/IL2RB/LPAR2/RASGRP2/AR/BMP4/FGF17/STAT4/WNT10B/RET/KIT/IL12RB1/IL12RB2/FLT3/FGF8/GNG4/ADCY8/EGF/JAK3/RXRG/IL12B/WNT16/WNT9A/COL4A6/HES5/IL23A/F2RL3/TERT/NOS2/WNT3A/FGF5/PTGER1/PRKCG/LAMB4",181
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","31/2068","58/6676",0.53448275862069,1.72543853798439,3.71702862458854,0.000292297516632196,0.00393477426235648,0.00327799239300074,"DVL1/APC2/TCF7L1/KIF7/GADD45G/AXIN1/DVL3/SUFU/PTCH2/SMO/GLI2/TCF7L2/LEF1/FZD9/PTCH1/FZD7/FZD8/WNT6/FZD10/BMP2/FZD6/FZD3/AXIN2/WNT11/WNT10A/GLI1/BMP4/WNT10B/WNT16/WNT9A/WNT3A",31
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","25/2068","44/6676",0.568181818181818,1.83422718480746,3.71905913999499,0.000324376491471943,0.00412293965551438,0.00343474972805259,"CR1/TGFB1/IL1B/SELE/TLR2/LRP1/IL6/IL10/SDC1/CR1L/KLRB1/IFNG/TLR4/CCL2/HGF/IL18/TGFB3/KLRK1/ITGAL/IL12A/CD40LG/VCAM1/GYPA/TNF/GYPB",25
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","48/2068","101/6676",0.475247524752475,1.53421299576766,3.62386427978178,0.000329835172441151,0.00412293965551438,0.00343474972805259,"HRAS/FCGR3B/NFATC1/NRAS/CASP3/PIK3R2/MAP2K2/TNFSF10/FCER1G/VAV2/MAPK3/IFNGR1/FAS/SH3BP2/CD48/CD244/PRKCB/SHC2/RAC3/FCGR3A/IFNG/KLRC3/VAV3/FASLG/PLCG2/CD247/LCP2/KLRK1/GZMB/LAT2/NFATC2/PRF1/LCK/KLRC1/ITGAL/TYROBP/RAC2/ZAP70/KLRC2/KLRD1/ULBP1/SH2D1A/NCR3/TNF/ULBP2/NCR1/SHC3/PRKCG",48
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","47/2068","99/6676",0.474747474747475,1.5325987144169,3.57641952507156,0.000390647811729274,0.0047147149691464,0.00392774750813099,"BCL2A1/TAB1/IRAK4/GADD45G/BIRC3/IL1B/TNFSF13B/EDA/PPP1R13L/IKBKG/TICAM1/CHUK/CARD10/MALT1/PIAS4/CCL4/MAP3K14/ATM/TRADD/LYN/BIRC2/LBP/LY96/PRKCB/PTGS2/CCL13/CXCL1/TLR4/IRAK1/BTK/CCL4L2/TRAF2/CXCL3/PLCG2/CXCL2/LCK/TNFRSF13C/ZAP70/TNFSF14/LTB/CD40LG/VCAM1/BLNK/LTA/CARD14/TNF/CCL19",47
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","93/2068","224/6676",0.415178571428571,1.34029600718431,3.47039053521936,0.000445618386109508,0.00509917669492743,0.00424803592329293,"THRA/FPR1/OGFR/FPR2/LYNX1/DRD4/GABBR1/LTB4R2/MC1R/PNOC/GZMA/LPAR6/TBXA2R/C3AR1/UCN/ADRA1B/FPR3/P2RY10/P2RY2/GRIN2C/P2RX6/GRIK5/PTGIR/ADRA2C/TRPV1/NPW/AVPR2/ADRA2B/F2RL1/NPB/ADRA2A/CYSLTR1/P2RY13/GRIK4/SSTR5/F2R/HRH2/P2RY4/ADORA1/VIPR2/PTH1R/PTGFR/NMUR1/OXT/ADCYAP1R1/OPRL1/PTAFR/GPR35/HTR6/AVPR1A/PRLR/LPAR2/HCRTR1/GRIN3B/GABRR2/GRID1/GABRP/HTR1B/PAQR6/CTSG/GALR1/ADRB1/ADRA1D/VIPR1/P2RY11/CRHR2/TAC1/P2RY8/NMU/P2RX1/UTS2/GRIK3/CHRNA4/GRM2/RXFP1/GRIN2B/MC4R/GRIA4/LYPD6B/TSHR/ADORA2A/ADM2/ADCYAP1/INSL3/GAL/CHRM5/F2RL3/SCT/GRIA1/SSTR1/PTGER1/CHRNA6/ADRA1A",93
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","39/2068","79/6676",0.493670886075949,1.59368802487574,3.55584858516328,0.000451641364407858,0.00509917669492743,0.00424803592329293,"COL27A1/COL18A1/COL6A1/COL6A2/COL11A2/COL5A3/ATP1B3/ATP1B2/COL7A1/COL16A1/COL9A2/COL4A2/PRCP/COL5A1/SLC8A1/COL8A2/ELN/COL1A1/COL25A1/COL4A1/SLC7A8/COL17A1/SLC7A7/COL22A1/COL23A1/COL13A1/COL26A1/SLC9A3/KCNN4/COL6A5/CPA3/ATP1A2/ATP1A4/COL1A2/COL9A1/COL4A6/KCNJ13/COL10A1/SLC15A1",39
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","38/2068","77/6676",0.493506493506494,1.59315732623276,3.50687966913013,0.000536543844310528,0.0058684482971464,0.00488890279190843,"S100A9/JUND/MAPK7/MMP1/CXCL10/IL1B/S100A8/IL17RC/MMP13/MMP3/IKBKG/CHUK/CASP3/TRADD/MAPK3/JUN/CXCL5/IL6/TBK1/CCL7/CCL20/PTGS2/IL17RE/CXCL1/IFNG/MAPK12/CCL2/MAPK15/MUC5B/IL17D/TRAF2/CXCL3/MAPK11/CXCL2/LCN2/CCL17/TNF/MAPK4",38
